receipt_id,extracted_store_name,store_name_correct?,extracted_date,date_correct?,extracted_total,total_correct?,num_items_extracted,items_look_reasonable?,notes
X51005749895,MR. O.02.%. (M) SON BHD,,,,71.9,,4,,
X51005337877,UROKO JAPANESE CUISINE SDN BHD,,2018-03-20,,53.0,,2,,
2,Thank you! ID #:7PB65JWCFZ2 Ba,,2020-10-18,,49.9,,0,,
X51005568829,* THAI DELICIOUS RESTAURANT “a,,2017-02-02,,100.0,,4,,
X51005447842,PASARAYA BORONG PINTAR,,2018-03-14,,0.8,,0,,
X51005444037,Nando's Chickenland Malaysia |,,2018-03-28,,,,3,,
X51005365187,F&P PHARMACY,,,,31.9,,0,,
X51005301667,"BANDAR BUKIT RAJA, MALAYSIA",,2017-11-20,,39.8,,0,,
X51005757324,MR. O.1.Y. (M) SDN BHD -,,2018-03-25,,2.88,,2,,
X51005719889,BANDAR MENJALARA,,,,42.0,,0,,
X51005268275,LIGHTROOM GALLERY SDN BHD,,2017-11-20,,,,3,,
X51005724625,KEDAI PAPAN YEW CHUAN,,,,283.55,,0,,
X51005676549,SYARIKAT PERNIAGAAN GIN KEE,,,,39.75,,0,,
4,Ta MANAGER DONALD MONEYMAKER,,,,71.43,,1,,
3,See back OF rec jour chance,,2019-04-27,,144.02,,13,,
